"objectid","name"
"1","MIRAMAR RANCH NORTH"
"2","TORREY HIGHLANDS"
"3","MISSION BAY"
"4","NORTH CITY"
"5","LOMA PORTAL"
"6","GASLAMP"
"7","HILLCREST"
"8","SOUTH PARK"
"9","NORTH PARK"
"10","SOUTHCREST"
"11","TERALTA WEST"
"12","AZALEA/HOLLYWOOD PARK"
"13","MT HOPE"
"14","TERALTA EAST"
"15","CHOLLAS VIEW"
"16","RIDGEVIEW/WEBSTER"
"17","COLINA DEL SOL"
"18","PARADISE HILLS"
"19","BAY TERRACES"
"20","SORRENTO VALLEY"
"21","SERRA MESA"
"22","RANCHO BERNARDO"
"23","OCEAN CREST"
"24","LA PLAYA"
"25","ROSEVILLE / FLEET RIDGE"
"26","HORTON PLAZA"
"27","CORE-COLUMBIA"
"28","SHERMAN HEIGHTS"
"29","BURLINGAME"
"30","STOCKTON"
"31","NORMAL HEIGHTS"
"32","MOUNTAIN VIEW"
"33","EMERALD HILLS"
"34","REDWOOD VILLAGE/ROLANDO PARK"
"35","ENCANTO"
"36","QUALCOMM"
"37","MIRA MESA"
"38","SAN CARLOS"
"39","RANCHO PENASQUITOS"
"40","SUNSET CLIFFS"
"41","WOODED AREA"
"42","PACIFIC BEACH"
"43","CARMEL VALLEY"
"44","MISSION HILLS"
"45","CHEROKEE POINT"
"46","CORRIDOR"
"47","SWAN CANYON"
"48","ISLENAIR"
"49","COLLEGE WEST"
"50","BROADWAY HEIGHTS"
"51","ALLIED GARDENS"
"52","SKYLINE"
"53","LAKE MURRAY"
"54","UNIVERSITY CITY"
"55","EGGER HIGHLANDS"
"56","TIJUANA RIVER VALLEY"
"57","SAN YSIDRO"
"58","OLD TOWN"
"59","MORENA"
"60","MIDTOWN"
"61","FAIRMONT VILLAGE"
"62","LINCOLN PARK"
"63","CHOLLAS CREEK"
"64","GRANTVILLE"
"65","DEL CERRO"
"66","CARMEL MOUNTAIN"
"67","SAN PASQUAL"
"68","OCEAN BEACH"
"69","MISSION BAY PARK"
"70","LA JOLLA"
"71","TORREY PINES"
"72","BAY HO"
"73","HARBORVIEW"
"74","PARK WEST"
"75","LINDA VISTA"
"76","GOLDEN HILL"
"77","SHELLTOWN"
"78","CASTLE"
"79","VALENCIA PARK"
"80","COLLEGE EAST"
"81","CLAIREMONT MESA EAST"
"82","TIERRASANTA"
"83","SCRIPPS RANCH"
"84","BLACK MOUNTAIN RANCH"
"85","RANCHO ENCANTADA"
"86","MISSION BEACH"
"87","MIDWAY DISTRICT"
"88","PETCO PARK"
"89","BALBOA PARK"
"90","BARRIO LOGAN"
"91","FOX CANYON"
"92","TALMADGE"
"93","ROLANDO"
"94","OTAY MESA"
"95","POINT LOMA HEIGHTS"
"96","NESTOR"
"97","BAY PARK"
"98","MARINA"
"99","CORTEZ"
"100","EAST VILLAGE"
"101","UNIVERSITY HEIGHTS"
"102","GRANT HILL"
"103","ADAMS NORTH"
"104","KENSINGTON"
"105","OAK PARK"
"106","NORTH CLAIREMONT"
"107","BORDER"
"108","JAMACHA LOMITA"
"109","TORREY PRESERVE"
"110","DEL MAR HEIGHTS"
"111","PALM CITY"
"112","OTAY MESA WEST"
"113","LITTLE ITALY"
"114","MISSION VALLEY WEST"
"115","LOGAN HEIGHTS"
"116","MISSION VALLEY EAST"
"117","FAIRMONT PARK"
"118","EL CERRITO"
"119","ALTA VISTA"
"120","CLAIREMONT MESA WEST"
"121","BIRDLAND"
"122","MIRAMAR"
"123","KEARNY MESA"
"124","SABRE SPRINGS"
